name,slug,town,category,subcategory,age_min,age_max,indoor,outdoor,parking_score,coffee_score,scoot_friendly,bike_friendly,buggy_friendly,price_label,website_url,short_blurb,distance_minutes,free,parking_label,coffee_label,address,postcode,booking_required,toilets,changing_facilities,food_available,website_notes,source_name,source_url
1,Higginson Park,higginson-park,Marlow,park,2,10,false,true,4,3,true,true,true,Free,https://www.buckinghamshire.gov.uk/health-wellbeing-and-sports/parks-and-open-spaces/find-a-park-or-play-area/higginson-park/,2026-04-09 22:09:55.213117+00,"Big open green space with playground, river walks, and room for scooters.",8,true,Easy,Good,Pound Lane,SL7 2AE,false,true,true,true,Great for a low-effort park trip with space for scooters and a nearby coffee stop.,,,
2,Playtrain,playtrain,High Wycombe,softplay,1,10,true,false,2,2,false,false,true,Moderate,https://playtrain.biz/,2026-04-09 22:36:55+00,"Indoor softplay - includes baby area, sensory area and dress-up areas",10,false,OK,Decent," Lancaster Rd",HP12 3PY,true,true,true,true,Softplays aren't fun for adults but this one is bearable with lots for the kids to do,,,
3,Odds Farm,odds-farm,Wooburn Green,farm,1,16,true,true,5,3,false,false,true,Expensive,https://www.oddsfarm.co.uk/,2026-04-09 22:42:43+00,"Outdoor play farm with family activities including indoor soft play, animal barn, sandpit, outdoor playground,",5,false,Easy,OK,Wooburn Common Rd,HP10 0LX,false,true,true,true,Not your run of the mill farm. Lots of outdoor activities and play opportunities outside of the animals,,,
4,Bekonscot Model Village,bekonscot-model-village,Beaconsfield,model village,1,99,false,true,2,2,false,false,true,Expensive,https://www.bekonscot.co.uk/,2026-04-09 22:46:40+00,Model village with model train ride and small park/cafe,15,false,Okay,Decent,Warwick Rd,HP9 2PL,false,true,true,true,If your kids like feeling like giants this is the place to be. Small train is brief but fun,,,
6,Rush Trampoline Park,rush-trampoline-park,High Wycombe,sports,2,18,true,false,2,2,false,false,false,Expensive,https://www.rushuk.com/,2026-04-12 21:23:50+00,Trampoline Park and Softplay,5,false,Okay,Decent,,,false,false,false,false,,,,
7,Clara's Corner,claras-corner,West Wycombe,softplay,1,12,true,false,2,2,false,false,false,Expensive,https://www.clarascorner.co/,2026-04-12 21:26:25+00,Modern Soft play aimed and younger children,20,false,Easy,Decent,,,false,false,false,false,,,,
8,Junior's Soft Play,juniors-soft-play,Maidenhead,softplay,1,12,true,false,2,3,false,false,false,Cheap,https://juniorscafe.co.uk/,2026-04-12 21:34:18+00,Small Soft Play and Cafe,15,false,Easy,Good,,,false,false,false,false,,,,
9,Roald Dahl Museum,roald-dahl-museum,Great Missenden,museum,1,16,true,false,2,2,false,false,true,Expensive,https://www.roalddahlmuseum.org/,2026-04-12 21:40:16+00,Museum celebrating the works and life of author Roald Dahl,18,false,Okay,Decent,,,false,false,false,false,,,,
10,Blind Lane Children's Playground,Bourne-end-playground,Bourne End,park,1,16,false,true,1,1,false,false,true,Free,https://www.wooburnparish.gov.uk/,2026-04-12 21:45:20+00,Community playground,1,true,Tricky,Bad,,,false,false,false,false,,,,
11,The Little Play Lounge,the-little-play-lounge,Marlow,soft play,1,6,true,false,3,2,false,false,true,Paid,https://example.com,2026-04-12 22:28:33.192862+00,Small indoor play option for younger kids and easy last-minute plans,12,false,Okay,Bad,High Street,SL7 1AA,true,true,true,false,Best for shorter indoor play sessions on rainy days,,Manual,
12,The Ferry Pub Garden,the-ferry-pub-garden,Marlow,pub,2,10,false,true,4,1,true,false,true,Paid,https://example.com,2026-04-12 22:28:33.192862+00,Family-friendly pub with outdoor space and room for kids to move around,15,false,Easy,None,Riverside Road,SL7 1BZ,false,true,false,true,More useful for a relaxed lunch stop than a full activity,pub with garden,Manual,